path,emosi,label,sumber,bahasa,file,bobot,durasi_raw_sec,durasi_sec,split
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_13/03-01-06-01-02-01-13.wav,takut,4,ravdess,en,03-01-06-01-02-01-13.wav,0.7,3.20325,1.344,train
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-02-01-02-01-18.wav,netral,0,ravdess,en,03-01-02-01-02-01-18.wav,0.7,3.637,1.856,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1045_TAI_DIS_XX.wav,jijik,5,cremad,en,1045_TAI_DIS_XX.wav,0.24499999999999997,3.2365625,3.2365625,train
/kaggle/input/datasets/ahmadnafibudianto/e-seravd-speech-emotion-recognition-av-dataset/E-SERAVD 1.1/E-SERAVD/02_Audio-Only/04_Happy/TAOL/02-04-TAOL-T-0013.wav,senang,1,eseravd,id,02-04-TAOL-T-0013.wav,3.0,1.4166875,1.3206875,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1066_IEO_ANG_MD.wav,marah,3,cremad,en,1066_IEO_ANG_MD.wav,0.42419999999999997,1.968625,1.968625,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1014_IEO_FEA_MD.wav,takut,4,cremad,en,1014_IEO_FEA_MD.wav,0.24499999999999997,2.7026875,2.7026875,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1060_IEO_FEA_MD.wav,takut,4,cremad,en,1060_IEO_FEA_MD.wav,0.24499999999999997,2.6693125,2.6693125,train
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_04/03-01-02-01-01-02-04.wav,netral,0,ravdess,en,03-01-02-01-01-02-04.wav,0.7,3.7370625,1.888,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1072_TIE_FEA_XX.wav,takut,4,cremad,en,1072_TIE_FEA_XX.wav,0.24499999999999997,3.403375,3.328,train
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_11/03-01-06-01-02-01-11.wav,takut,4,ravdess,en,03-01-06-01-02-01-11.wav,0.7,3.169875,1.376,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1004_IEO_ANG_MD.wav,marah,3,cremad,en,1004_IEO_ANG_MD.wav,0.42419999999999997,2.902875,1.92,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1061_IWL_FEA_XX.wav,takut,4,cremad,en,1061_IWL_FEA_XX.wav,0.24499999999999997,3.403375,3.403375,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1022_TIE_DIS_XX.wav,jijik,5,cremad,en,1022_TIE_DIS_XX.wav,0.24499999999999997,4.1708125,4.1708125,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1057_IEO_ANG_HI.wav,marah,3,cremad,en,1057_IEO_ANG_HI.wav,0.42419999999999997,2.2355625,1.2115625,train
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_11/03-01-01-01-01-01-11.wav,netral,0,ravdess,en,03-01-01-01-01-01-11.wav,0.7,3.1365,1.344,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1004_DFA_SAD_XX.wav,sedih,2,cremad,en,1004_DFA_SAD_XX.wav,0.24499999999999997,2.8361875,2.8361875,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1002_ITH_DIS_XX.wav,jijik,5,cremad,en,1002_ITH_DIS_XX.wav,0.24499999999999997,3.8038125,3.8038125,train
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_04/03-01-04-01-01-01-04.wav,sedih,2,ravdess,en,03-01-04-01-01-01-04.wav,0.7,3.3700625,1.504,train
/kaggle/input/datasets/ahmadnafibudianto/e-seravd-speech-emotion-recognition-av-dataset/E-SERAVD 1.1/E-SERAVD/02_Audio-Only/01_Angry/TAOL/02-01-TAOL-T-0039.wav,marah,3,eseravd,id,02-01-TAOL-T-0039.wav,3.0,1.75,1.376,train
/kaggle/input/datasets/elnathh/indowavesentiment/IndoWaveSentiment Indonesian Audio Dataset for Emotion Classification/IndoWaveSentiment/Actor_06/06-05-02-02.wav,sedih,2,indowavesentiment,id,06-05-02-02.wav,3.0,3.3,3.072,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1031_TAI_DIS_XX.wav,jijik,5,cremad,en,1031_TAI_DIS_XX.wav,0.24499999999999997,2.6693125,2.6693125,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1058_DFA_NEU_XX.wav,netral,0,cremad,en,1058_DFA_NEU_XX.wav,0.6698999999999999,2.43575,2.43575,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1072_TSI_NEU_XX.wav,netral,0,cremad,en,1072_TSI_NEU_XX.wav,0.6698999999999999,2.3023125,2.3023125,train
/kaggle/input/datasets/ahmadnafibudianto/e-seravd-speech-emotion-recognition-av-dataset/E-SERAVD 1.1/E-SERAVD/02_Audio-Only/04_Happy/TAOL/02-04-TAOL-T-0029.wav,senang,1,eseravd,id,02-04-TAOL-T-0029.wav,3.0,1.0416875,0.9776875,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1081_TIE_DIS_XX.wav,jijik,5,cremad,en,1081_TIE_DIS_XX.wav,0.24499999999999997,3.1364375,3.1364375,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1073_IWW_NEU_XX.wav,netral,0,cremad,en,1073_IWW_NEU_XX.wav,0.6698999999999999,2.3023125,2.3023125,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1015_IEO_DIS_MD.wav,jijik,5,cremad,en,1015_IEO_DIS_MD.wav,0.24499999999999997,2.402375,2.402375,train
/kaggle/input/datasets/ahmadnafibudianto/e-seravd-speech-emotion-recognition-av-dataset/E-SERAVD 1.1/E-SERAVD/02_Audio-Only/02_Sad/TAOL/02-02-TAOL-T-0018.wav,sedih,2,eseravd,id,02-02-TAOL-T-0018.wav,3.0,3.1666875,2.624,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1045_IEO_DIS_LO.wav,jijik,5,cremad,en,1045_IEO_DIS_LO.wav,0.24499999999999997,2.06875,2.06875,train
/kaggle/input/datasets/ahmadnafibudianto/e-seravd-speech-emotion-recognition-av-dataset/E-SERAVD 1.1/E-SERAVD/02_Audio-Only/03_Neutral/D1990/02-03-D1990-T-0002.wav,netral,0,eseravd,id,02-03-D1990-T-0002.wav,3.0,2.710625,2.304,train
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1042_IOM_ANG_XX.wav,marah,3,cremad,en,1042_IOM_ANG_XX.wav,0.42419999999999997,2.002,1.728,train
/kaggle/input/datasets/ahmadnafibudianto/e-seravd-speech-emotion-recognition-av-dataset/E-SERAVD 1.1/E-SERAVD/02_Audio-Only/04_Happy/D1990/02-04-D1990-T-0018.wav,senang,1,eseravd,id,02-04-D1990-T-0018.wav,3.0,1.7515,1.472,train
/kaggle/input/datasets/ahmadnafibudianto/e-seravd-speech-emotion-recognition-av-dataset/E-SERAVD 1.1/E-SERAVD/02_Audio-Only/01_Angry/DHB/02-01-DHB-T-0026.wav,marah,3,eseravd,id,02-01-DHB-T-0026.wav,3.0,2.458375,2.106375,train
